Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2015,0,City of Melbourne total,10027,14513,3896,23362,77966,5817,24699,9805,62692,33466,38792,26789,15103,12214,40876,4764,627,19833,14308,10787,450336
2015,1,Melbourne (CBD),0,122,0,,137,0,0,,,77,,0,0,3,0,0,,14,,0,791
2015,2,Melbourne (CBD),0,,,207,,,,,,,,,,,,,,,,,207
2015,4,Melbourne (CBD),0,0,0,41,0,0,,0,0,128,,0,0,15,,0,0,45,231,0,493
2015,5,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,11,0,0,16
2015,6,Melbourne (CBD),0,33,0,427,0,0,0,0,0,313,0,,0,,,,,45,34,0,1092
2015,11,Melbourne (CBD),152,68,0,0,107,,,,32,90,64,,0,56,0,,0,,,,718
2015,12,Melbourne (CBD),102,1289,0,55,1492,,137,,304,189,73,,0,23,,,0,15,,0,4608
2015,13,Melbourne (CBD),0,191,98,,562,,42,606,298,41,0,,0,20,0,,0,34,32,0,2000
2015,14,Melbourne (CBD),150,165,,,579,20,534,0,113,304,78,16,,125,,48,0,88,,,2290
2015,15,Melbourne (CBD),81,75,,148,212,,358,0,52,762,102,58,45,211,,,0,417,,14,2550
2015,16,Melbourne (CBD),,39,0,133,291,0,251,0,86,125,,,0,85,0,46,0,60,0,,1219
2015,17,Melbourne (CBD),,51,0,,504,0,79,0,653,510,0,,,3,,76,0,35,0,0,2258
2015,18,Melbourne (CBD),98,12,0,,2021,,,0,771,226,,,,20,,248,0,,,0,4391
2015,21,Melbourne (CBD),,0,0,0,266,0,0,,,26,0,,,215,1265,,0,,,0,2057
2015,22,Melbourne (CBD),,436,,108,2471,122,,70,380,331,,,,95,224,41,0,40,93,0,4623
2015,23,Melbourne (CBD),,252,,24,1001,,48,0,98,85,37,234,,81,,61,0,28,0,,2078
2015,24,Melbourne (CBD),0,302,55,,2495,248,28,,2068,259,66,884,26,26,,327,0,91,53,33,7740
2015,25,Melbourne (CBD),43,505,,,705,0,193,0,135,260,132,,43,221,171,65,0,411,,121,3582
2015,26,Melbourne (CBD),,0,,,2176,,0,,869,190,47,,0,22,0,,0,69,0,,4183
2015,27,Melbourne (CBD),,64,0,,2103,66,,,2285,290,62,,,100,,,,214,0,,5891
2015,56,Melbourne (CBD),0,79,0,,302,0,214,0,52,611,15,107,21,143,0,,,449,0,0,2019
2015,28,Melbourne (CBD),,194,,0,586,79,,0,853,287,129,,,66,389,243,0,113,,,5732
2015,31,Melbourne (CBD),,,0,,240,,136,,208,169,163,,,64,,0,0,48,,0,2863
2015,32,Melbourne (CBD),,455,81,0,2563,,30,284,2623,154,128,34,12,147,383,180,0,20,258,,7424
2015,33,Melbourne (CBD),26,484,21,0,962,39,357,0,462,251,88,,0,220,,24,0,52,27,,3050
2015,34,Melbourne (CBD),,777,34,,1158,,51,,4213,163,49,,28,293,6,209,0,189,,40,7303
2015,35,Melbourne (CBD),,78,,25,250,,79,,26,193,399,194,196,136,0,6,0,608,,67,2434
2015,36,Melbourne (CBD),112,44,0,,234,0,0,,,158,34,,9,57,,,0,92,0,0,900
2015,37,Melbourne (CBD),88,92,,0,779,,0,,1418,81,28,,80,41,1510,204,0,60,,,5952
2015,38,Melbourne (CBD),,57,0,,649,6,113,53,470,323,388,33,126,145,53,27,0,46,49,,2680
2015,41,Melbourne (CBD),,24,,0,354,,,0,,87,85,0,0,80,,,0,,,0,1864
2015,42,Melbourne (CBD),0,111,15,0,1568,,329,535,896,163,75,261,129,133,571,150,0,19,,38,5031
2015,43,Melbourne (CBD),,380,,0,2532,50,590,0,686,132,,124,38,146,,,0,52,107,0,5578
2015,44,Melbourne (CBD),0,152,,0,681,,39,,1110,172,78,0,23,55,,23,0,98,,,3258
2015,45,Melbourne (CBD),,,0,,48,0,144,0,39,242,0,,26,74,0,,0,1145,0,0,1768
2015,46,Melbourne (CBD),0,85,0,19,89,0,,,,398,167,66,0,115,,,0,183,0,0,4927
2015,47,Melbourne (CBD),45,,0,,,,,0,27,276,24,,,322,3406,,0,84,,0,6852
2015,48,Melbourne (CBD),,22,0,29,376,0,,,50,347,87,,26,117,0,19,,66,,,1489
2015,51,Melbourne (CBD),,0,0,13,539,,164,,,153,,,,72,,24,0,16,,0,2317
2015,52,Melbourne (CBD),0,113,0,,4980,,,0,2364,217,9,317,0,80,657,228,0,35,,,9182
2015,53,Melbourne (CBD),104,56,0,0,1045,41,60,,3877,246,53,27,11,217,35,46,0,12,19,,5864
2015,54,Melbourne (CBD),0,51,0,10,657,,65,0,136,323,156,,,177,0,,0,180,,,1818
2015,55,Melbourne (CBD),,42,0,,121,0,0,0,,128,,0,0,14,0,,0,1459,0,0,2006
2015,57,Melbourne (CBD),,37,0,91,247,,37,0,14,550,49,32,,133,0,55,0,75,0,,1349
2015,58,Melbourne (CBD),197,0,0,,122,0,0,0,26,545,0,0,4,26,,0,0,74,,,1155
2015,61,Melbourne (CBD),,0,0,0,0,0,,,0,225,0,0,0,0,0,27,0,,0,0,349
2015,62,Melbourne (CBD),,0,0,,1445,0,44,,,100,0,0,0,34,,,0,,0,0,1869
2015,63,Melbourne (CBD),0,,0,0,218,0,39,0,,57,0,,0,23,191,17,0,25,0,,680
2015,64,Melbourne (CBD),,115,,25,1003,,106,,20,283,25,,,57,0,21,,242,0,0,1943
2015,65,Melbourne (CBD),,22,0,0,16,0,23,0,12,679,16,0,0,86,0,,0,1542,,,2494
2015,66,Melbourne (CBD),,69,0,0,30,,40,,,597,,0,,46,0,0,0,148,0,0,995
2015,67,Melbourne (CBD),90,20,0,166,53,0,101,0,,462,34,,0,30,0,,0,27,0,0,1002
2015,68,Melbourne (CBD),68,0,0,,53,0,,0,316,227,0,,0,45,961,,0,,0,0,2077
2015,71,Melbourne (CBD),,,0,0,51,0,0,0,0,,0,0,0,,0,0,0,,0,0,132
2015,72,Melbourne (CBD),0,77,0,0,629,,,0,,209,,,,21,,15,0,18,0,0,1412
2015,73,Melbourne (CBD),0,0,0,0,419,0,0,0,0,15,0,0,0,,841,,0,0,0,0,1308
2015,74,Melbourne (CBD),0,422,0,14,516,0,273,0,59,296,43,17,15,48,,67,0,107,,,1919
2015,76,Melbourne (CBD),0,,0,57,,,,0,30,416,174,1132,,81,,,0,693,,0,5248
2015,77,Melbourne (CBD),,,0,,103,0,,0,275,121,,1139,0,33,0,,0,11,,0,2118
2015,78,Melbourne (CBD),0,,0,,,0,0,0,2778,148,,,,9,4008,12,0,28,0,0,12168
2015,81,Melbourne (CBD),,0,0,0,,0,291,0,0,97,0,0,0,0,0,0,0,22,0,0,451
2015,82,Melbourne (CBD),0,,0,,2100,,49,,209,59,,418,0,20,1184,,0,,120,0,4331
2015,83,Melbourne (CBD),0,0,0,,0,,,0,0,37,0,0,0,9,,0,0,0,0,0,702
2015,84,Melbourne (CBD),0,12,0,0,221,39,137,,34,108,0,,,125,0,,0,62,0,,787
2015,85,Melbourne (CBD),,119,0,,146,,0,,2181,1338,116,653,,171,1297,,0,1477,,0,7648
2015,86,Melbourne (CBD),0,0,0,,0,0,0,0,0,,0,,0,48,0,0,0,,0,0,476
2015,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,87,Melbourne (CBD),,,0,0,419,,136,,,159,0,0,0,22,0,23,0,,0,,4532
2015,88,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,,0,0,56
2015,91,West Melbourne (Residential),0,135,,0,126,0,29,,,30,,,,21,0,,0,,0,20,433
2015,92,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,93,Melbourne (CBD),,,0,,485,,68,0,545,49,0,0,0,173,774,,0,,0,,2442
2015,94,Melbourne (CBD),,0,0,0,574,,,0,,59,0,,0,57,,23,0,84,0,0,3421
2015,95,Melbourne (CBD),,74,0,,54,,449,0,11,280,55,,,38,0,,,76,0,0,1129
2015,96,Melbourne (CBD),0,,0,88,0,0,2673,0,,11,34,,0,,,0,0,0,0,0,2953
2015,97,Melbourne (CBD),43,,0,16,55,,,0,,40,0,350,0,25,0,,0,,0,0,687
2015,98,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2015,101,West Melbourne (Residential),0,0,0,0,,0,,,0,30,0,,116,14,0,0,0,0,0,0,287
2015,103,Melbourne (CBD),246,0,0,0,37,,,,,16,,0,0,353,0,,0,0,0,0,721
2015,104,Melbourne (CBD),38,,0,0,31,0,48,,,91,,0,,23,0,0,,19,0,0,281
2015,105,Melbourne (CBD),0,,0,,177,,1041,0,0,68,,0,0,0,,0,,17,,0,1424
