block_id,sensor_description,hourly_counts,floor_sqm,block_norm,density,walkable,accident_count,base_property_id_House/Townhouse,base_property_id_Residential Apartments,base_property_id_Student Apartments,base_property_id_Accommodation,base_property_id_Amusement and Other Recreational Activities n.e.c.,base_property_id_Bakery Product Manufacturing (Non-factory based),base_property_id_Cafes and Restaurants,base_property_id_Catering Services,base_property_id_Clubs (Hospitality),base_property_id_Confectionery Manufacturing,base_property_id_Flower Retailing,base_property_id_Health and Fitness Centres and Gymnasia Operation,base_property_id_Internet Service Providers and Web Search Portals,base_property_id_Newspaper and Book Retailing,base_property_id_Non-Residential Property Operators,base_property_id_Other Administrative Services n.e.c.,base_property_id_Other Gambling Activities,base_property_id_Other Interest Group Services n.e.c.,base_property_id_Other Specialised Food Retailing,base_property_id_Other Store-Based Retailing n.e.c.,"base_property_id_Pubs, Taverns and Bars","base_property_id_Sports and Physical Recreation Venues, Grounds and Facilities Operation",base_property_id_Takeaway Food Services,cafe_rich,model_no_Barbeque,model_no_Bicycle Rails,model_no_Drinking Fountain,model_no_Floral Crate/Planter Box,model_no_Hoop,model_no_Information Pillar,model_no_Litter Bin,model_no_Picnic Setting,model_no_Seat,feature_name_Community Use,feature_name_Education Centre,feature_name_Leisure/Recreation,feature_name_Mixed Use,feature_name_Place Of Assembly,feature_name_Place of Worship,feature_name_Purpose Built,feature_name_Retail,feature_name_Transport,feature_name_Vacant Land,total_employment_in_block
104,QV Market-Elizabeth St (West),462.5,165656.0,0.01640698709297735,28189.209717728307,0,8.0,0.0,12.0,1.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0,6,0,0,0,0,11,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0
1103,Victoria Point,99.0,766444.0,0.07591054242218774,1304.1666788441164,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0,42,3,0,0,0,29,0,23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7727.0
1105,Southern Cross Station,150.0,603362.0,0.05975849076636524,2510.1035530908475,0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,86,0,0,0,0,29,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13881.0
1108,Webb Bridge,142.0,854485.0,0.08463034460655064,1677.8851682592438,0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,6,190,20,0,0,4,152,9,171,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17788.0
1109,New Quay,194.5,491769.0,0.048706039236287114,3993.344625220378,0,9.0,19.0,8.0,0.0,0.0,0.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,95,8,0,0,0,85,2,100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1450.0
1109,Waterfront City,57.5,491769.0,0.048706039236287114,1180.5517529571812,0,9.0,19.0,8.0,0.0,0.0,0.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,95,8,0,0,0,85,2,100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1450.0
113,QV Market-Peel St,114.0,74729.0,0.007401348206349932,15402.599205127863,0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0,29,6,0,0,1,48,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1077.0
15,Flinders St-Swanston St (West),2190.5,130787.0,0.012953473589421626,169105.21991482333,1,3.0,0.0,3.0,1.0,0.0,0.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,18.0,1.0,0,23,1,1,0,0,11,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2550.0
18,Flinders St-Spark La,154.5,195799.0,0.019392425664134547,7967.028090031103,0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,14,0,0,0,0,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4391.0
18,Flinders St-Spring St (West),123.0,195799.0,0.019392425664134547,6342.68255711214,0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,14,0,0,0,0,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4391.0
